TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,parallax,e_parallax,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
86013,4389,142.6687945,30.6354264,0.961,17.3990402,17.2764149,17.0209923,16.292984,16.1543484,15.6800842,15.5111465,15.0938807,15.0235119,14.9206085,14.8828068,14.8857956,0.6181,0.0342,5248.305,3.9232447,-0.089481376,155.83676,0.3102218,0.09088686
86013,4393,142.7641612,30.63345006,0.863,17.6073742,17.3244438,16.9878902,16.1742058,15.8346596,14.9174633,14.8531666,13.7506056,13.5260773,13.2126818,13.0162287,12.9638481,5.9574,0.0198,4183.112,4.222688,-0.42139065,87.15658,0.21424009,0.21606639
86013,4433,143.0703386,30.62912337,0.699,17.393631,17.227459,17.1597519,16.4863892,16.4767914,16.0276966,15.8524628,15.5814419,15.5306435,15.4543533,15.4321833,15.4019184,0.7702,0.0496,5431.868,4.3387337,-0.2838424,206.56096,0.27780828,0.14084406
86013,4448,143.1541502,30.62684139,0.923,17.1608658,16.9258137,16.8689442,16.4065495,16.3162174,15.9870291,15.8642397,15.602932,15.5692902,15.4900761,15.4769802,15.4779892,0.5449,0.0513,5398.7676,3.5339034,-1.0526422,424.11768,0.5552695,0.51144737
86013,4453,143.3557871,30.62550434,0.804,17.0423603,16.9025269,16.7581825,16.1022911,15.9941082,15.5846004,15.4328728,15.0720215,14.9933186,14.9065599,14.8702164,14.8734636,0.8767,0.0351,5458.422,4.268431,-0.20450479,108.715065,0.22788191,0.13473774
86013,4454,143.1330266,30.62515106,0.956,14.9294682,14.7627716,14.6065216,13.9533186,13.8783188,13.4722996,13.3171825,13.0098591,12.9627514,12.8839836,12.8747187,12.8685131,2.3402,0.0279,5713.1816,4.385268,0.034945067,94.55807,0.062836766,0.07885195
86013,4463,142.7328733,30.62458098,0.958,15.402935,15.3614769,15.0312138,14.1812239,13.9858246,13.4092426,13.2845249,12.6907082,12.6018572,12.4725008,12.4057999,12.3867464,4.9482,0.0176,4964.0674,4.443328,0.023681812,73.16523,0.057065718,0.080459215
86013,4512,143.0663836,30.61918997,0.898,17.5288982,17.3974648,17.2150459,16.3471603,16.2560349,15.708518,15.5483484,15.055995,14.9766674,14.8273201,14.7607851,14.7456331,1.0331,0.0371,5015.5596,3.899768,-0.350324,142.10368,0.32952738,0.11911054
86013,4515,141.9016933,30.61756187,0.886,16.450489,16.2059059,16.1250801,15.5116091,15.4639549,15.0907946,14.9577026,14.6739626,14.6330137,14.5423908,14.5408068,14.5416126,0.5574,0.0363,5709.188,4.183551,-0.18113352,121.74647,0.15327111,0.11987498
86013,4529,142.0729236,30.61632163,0.932,16.8701134,16.7409954,16.6028652,15.9398251,15.8272028,15.3912868,15.2236881,14.8643694,14.7979612,14.7101917,14.7027798,14.6803436,0.8178,0.0384,5450.918,4.3149405,-0.16908287,107.94515,0.12521198,0.13103683
